"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidales_incertae_sedis",1.79605074099922,0,0,0,0,0,0,0,0,0,0,0.597534742377164,0,0,0,0,0,0,0,0.784689145395052,0,3.7617723321645,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidales_incertae_sedis.Phocaeicola",1.79605074099922,0,0,0,0,0,0,0,0,0,0,0.597534742377164,0,0,0,0,0,0,0,0.784689145395052,0,3.7617723321645,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.BacteroidalesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.BacteroidalesU.BacteroidalesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae",585.422739028696,202.342978122795,220.69737626176,124.393892499742,1.79163747392043,410.073515838811,54.100145137881,110.173608972648,187.981558796177,168.626739261948,5.42310086020709,524.695257281388,293.050201399278,113.613959109923,224.762657419362,210.53770696803,27.8655733653755,698.401757790113,118.884369103226,312.302356421504,48.6501585808054,146.383100685628,300.332083029178,77.3363475726635
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella",0,0,0,0,0,0,1.69327527818094,0,0,0,0,0,0,0.497340118473521,0.518628028736592,0,0,0,0,1.17703371809258,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Butyricimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95477464658026,0.392344572697526,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Dysgonomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Odoribacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07456894434347,5.95477464658026,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides",3.59210148199844,0,0,0,0,1.40450565413848,0,0,0,0,0.602566762245233,0,0,4.52127380430474,0,0,0,3.22370683303041,20.0296965384972,0,0,0,0,0
