"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria.Cyanobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777000777000777,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777000777000777,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.Chloroplast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777000777000777,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.Chloroplast.Streptophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777000777000777,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.Chloroplast.Streptophyta.StreptophytaU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes",320.323689487253,2039.70025613069,1092.21862502381,2772.85891273106,386.966993755575,284.240992849564,1225.98340002243,1975.13938547104,2850.0097547468,4195.62676186641,1992.48218442758,3314.5114571967,2600.86251517624,1204.72037764995,2069.05476122703,3417.11344211338,3169.50792326939,1741.53521641927,3061.76681240695,1694.27596357578,552.819705825679,1078.97012973952,4179.25188100413,1403.31013904636
"Bacteria.Firmicutes.Bacilli",6.01546834717846,2.25807908438119,0,2.77516229743794,0,0,6.82324386760959,1.91783449088344,0,0,1.51025137055312,7.29094335879377,3.33938397906683,3.02287763144582,0.510900425507069,10.4895104895105,0.834028356964137,0.861117353072875,9.83044817481346,1.61741633913986,3.59689125826964,3.49190385195615,7.85730444378056,2.32678880467864
"Bacteria.Firmicutes.Bacilli.Bacillales",0,0,0,0,0,0,0,0,0,0,0,0.694375557980359,0,0,0,0,0,0,0,0,0.449611407283705,0,0.592319873454227,0.0835471743152116
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Exiguobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.BacillalesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.BacillalesU.BacillalesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae",0,0,0,0,0,0,0,0,0,0,0,0.694375557980359,0,0,0,0,0,0,0,0,0.449611407283705,0,0.568143552088748,0.0835471743152116
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Gemella",0,0,0,0,0,0,0,0,0,0,0,0.34718777899018,0,0,0,0,0,0,0,0,0.449611407283705,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.StaphylococcaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0.34718777899018,0,0,0,0,0,0,0,0,0,0,0.556055391406009,0.0835471743152116
"Bacteria.Firmicutes.Bacilli.Lactobacillales",6.01546834717846,2.25807908438119,0,2.77516229743794,0,0,6.82324386760959,1.91783449088344,0,0,1.51025137055312,6.59656780081341,3.33938397906683,3.02287763144582,0.510900425507069,10.4895104895105,0.834028356964137,0.861117353072875,9.83044817481346,1.61741633913986,3.14727985098593,3.49190385195615,7.25289640964359,2.24073521513397
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae",0,0,0,0,0,0,0.776143989940591,0,0,0,0,0,0,0,0,0.372960372960373,0,0,0,0.400310543937115,0.445115293210868,0,0.525834989699161,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.CarnobacteriaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Granulicatella",0,0,0,0,0,0,0.776143989940591,0,0,0,0,0,0,0,0,0.372960372960373,0,0,0,0.396267003089265,0.445115293210868,0,0.525834989699161,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287039117690958,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287039117690958,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae",0,0,0,0,0,0,0,0,0,0,0.755125685276559,0,0,0,0,0,0,0,0,0,0,0,0,0.333353225517694
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus",0,0,0,0,0,0,0,0,0,0,0.755125685276559,0,0,0,0,0,0,0,0,0,0,0,0,0.33168228203139
"Bacteria.Firmicutes.Bacilli.Lactobacillales.LactobacillalesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
